Curso,Unidade de execução,Turno,Turma,Inscritos no turno (no 1º semestre é baseado em estimativas),Turnos com capacidade superior à capacidade das características das salas,Turno com inscrições superiores à capacidade das salas,Dia da Semana,Início,Fim,Dia,Características da sala pedida para a aula,Sala da aula,Lotação,Características reais da sala
"ISCTE-IUL, LCP, LHMC, LP, LS, LS-PL, MIA",Língua Espanhola,00670TP02,CI-CT1,23,0,0,,11:00:00,13:00:00,,,,,
"ISCTE-IUL, LCP, LHMC, LP, LS, LS-PL, MIA",Língua Espanhola,00670TP02,CI-CT1,23,0,0,,11:00:00,13:00:00,,,,,
"ISCTE-IUL, LCP, LHMC, LP, LS, LS-PL, MIA",Língua Espanhola,00670TP02,CI-CT1,23,0,0,,11:00:00,13:00:00,,,,,
"ISCTE-IUL, LCP, LHMC, LP, LS, LS-PL, MIA",Língua Espanhola,00670TP02,CI-CT1,23,0,0,,11:00:00,13:00:00,,,,,
"ISCTE-IUL, LCP, LHMC, LP, LS, LS-PL, MIA",Língua Espanhola,00670TP02,CI-CT1,23,0,0,,11:00:00,13:00:00,,,,,
"ISCTE-IUL, LCP, LHMC, LP, LS, LS-PL, MIA",Língua Espanhola,00670TP02,CI-CT1,23,0,0,,11:00:00,13:00:00,,,,,
DCCo,Tese em Ciências da Comunicação III,02582PL01,,0,1,0,,,,,,,,
MPP,Marketing Político,01714TP01,MPPA1,12,0,0,,20:30:00,22:30:00,,,,,
MPP,Marketing Político,01714TP01,MPPA1,12,0,0,,20:30:00,22:30:00,,,,,
MPP,Marketing Político,01714TP01,MPPA1,12,0,0,,20:30:00,22:30:00,,,,,
MPP,Marketing Político,01714TP01,MPPA1,12,0,0,,20:30:00,22:30:00,,,,,
MPP,Marketing Político,01714TP01,MPPA1,12,0,0,,20:30:00,22:30:00,,,,,
MPP,Marketing Político,01714TP01,MPPA1,12,0,0,,20:30:00,22:30:00,,,,,
MPP,Marketing Político,01714TP01,MPPA1,12,0,0,,20:30:00,22:30:00,,,,,
MPP,Marketing Político,01714TP01,MPPA1,12,0,0,,20:30:00,22:30:00,,,,,
MPP,Marketing Político,01714TP01,MPPA1,12,0,0,,20:30:00,22:30:00,,,,,
MPP,Marketing Político,01714TP01,MPPA1,12,0,0,,20:30:00,22:30:00,,,,,
LG,Contabilidade Financeira I,L0638-2T01,GAi,30,0,0,,11:00:00,12:30:00,,,,,
LG,Contabilidade Financeira I,L0638-2T01,GAi,30,0,0,,11:00:00,12:30:00,,,,,
